                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.92898,                  1.468,                0.83436,                 1.0876,                0.76765,                0.72979,                0.76811,                0.51238,                0.63791,                0.61044,                0.56601,                0.19572,                 1.1954,                 1.1876,                 1.1292,                 1.1548,              0.0015644,              0.0015644,              0.0015644
                     25,                0.92255,                 1.4519,                0.81731,                 1.0887,                 0.7571,                0.68848,                0.74762,                0.51679,                0.68829,                0.59438,                 0.5945,                0.18671,                 1.1233,                 1.2182,                 1.1421,                  1.138,              0.0015446,              0.0015446,              0.0015446
                     26,                0.90856,                 1.4382,                0.81614,                 1.0854,                0.72008,                0.74384,                0.75199,                0.52132,                0.63912,                0.68273,                0.60201,                 0.1859,                 1.0873,                 1.1901,                 1.0931,                 1.1233,              0.0015248,              0.0015248,              0.0015248
                     27,                0.89007,                 1.4522,                 0.7916,                 1.0799,                0.72748,                0.73896,                0.76417,                0.54493,                0.64404,                 0.6506,                 0.6051,                0.19999,                 1.0757,                 1.2058,                 1.0242,                  1.104,               0.001505,               0.001505,               0.001505
                     28,                0.89684,                 1.4513,                0.79254,                 1.0838,                0.78475,                0.73208,                0.77121,                0.54073,                0.72566,                0.61614,                0.61692,                0.21076,                 1.0928,                 1.2066,                 1.0747,                  1.106,              0.0014852,              0.0014852,              0.0014852
                     29,                0.88363,                 1.4281,                0.78825,                 1.0775,                0.81252,                0.71888,                0.77821,                0.54861,                0.70858,                0.61044,                0.58765,                 0.1991,                 1.0166,                 1.1993,                 1.0396,                 1.0902,              0.0014654,              0.0014654,              0.0014654
                     30,                  0.887,                 1.4357,                0.79534,                  1.076,                0.74967,                0.72164,                0.75415,                0.53243,                0.67113,                0.63052,                0.59122,                 0.1886,                 1.0462,                 1.2144,                 1.0986,                  1.103,              0.0014456,              0.0014456,              0.0014456
                     31,                0.88659,                 1.4227,                0.79069,                 1.0769,                 0.7758,                0.72262,                0.76263,                0.54564,                0.62788,                0.63855,                0.56969,                  0.186,                 1.0267,                 1.1764,                 1.0486,                 1.0749,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.8815,                 1.4324,                0.78376,                 1.0738,                0.78014,                0.69829,                0.75219,                0.53971,                0.70989,                0.60643,                 0.5954,                0.20227,                  1.031,                 1.2027,                 1.0588,                 1.1011,               0.001406,               0.001406,               0.001406
                     33,                0.87182,                 1.4094,                0.77012,                  1.066,                0.78808,                0.74297,                0.76906,                0.55459,                0.72103,                0.65395,                0.62878,                0.20319,                 1.0244,                 1.1845,                  1.054,                 1.0805,              0.0013862,              0.0013862,              0.0013862
                     34,                0.88598,                 1.4384,                0.78216,                 1.0736,                0.82623,                0.71486,                0.76639,                0.56364,                0.72077,                0.61044,                0.60573,                0.19694,                0.99968,                 1.1792,                 1.0801,                 1.0878,              0.0013664,              0.0013664,              0.0013664
                     35,                0.86351,                 1.4289,                0.76155,                 1.0655,                0.82285,                0.71486,                0.77243,                0.54539,                0.73022,                0.62651,                0.60797,                0.20085,                 1.0613,                 1.2041,                 1.0407,                 1.1013,              0.0013466,              0.0013466,              0.0013466
                     36,                0.86328,                 1.4271,                0.75463,                 1.0574,                0.81264,                0.72289,                0.75967,                0.54808,                0.75243,                0.61847,                0.61918,                0.20077,                 1.0942,                 1.1899,                 1.0567,                 1.1138,              0.0013268,              0.0013268,              0.0013268
                     37,                0.84448,                  1.399,                0.73088,                 1.0514,                0.75543,                0.73896,                0.74718,                0.54741,                0.71491,                0.61433,                0.60121,                0.19165,                 1.0108,                 1.2113,                 1.0122,                 1.0816,               0.001307,               0.001307,               0.001307
                     38,                0.85265,                 1.4181,                0.74679,                  1.061,                0.82157,                 0.6747,                0.77601,                0.55213,                0.68351,                0.62249,                 0.5958,                0.20022,                 1.0653,                 1.1986,                 1.0327,                 1.1263,              0.0012872,              0.0012872,              0.0012872
                     39,                0.85521,                 1.4083,                 0.7421,                 1.0598,                0.78229,                0.72154,                0.78866,                0.56831,                0.69986,                0.64615,                0.64896,                0.22336,                 1.0308,                 1.1939,                0.99126,                 1.0729,              0.0012674,              0.0012674,              0.0012674
                     40,                0.85358,                 1.4182,                0.73004,                 1.0543,                0.81994,                0.69076,                0.76186,                0.54486,                0.74728,                0.61446,                0.60411,                0.20047,                 1.0422,                 1.1799,                0.98668,                 1.1042,              0.0012476,              0.0012476,              0.0012476
                     41,                0.84772,                 1.4231,                0.73406,                 1.0574,                0.77566,                  0.751,                0.77927,                0.55444,                0.67197,                 0.6506,                0.59842,                0.19876,                 1.0064,                 1.1691,                 1.0382,                  1.072,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.8379,                 1.3973,                0.71579,                 1.0487,                0.84727,                0.68675,                0.78854,                0.58963,                0.76744,                 0.6229,                0.64545,                0.20344,                0.94945,                 1.1791,                0.94631,                 1.0591,               0.001208,               0.001208,               0.001208
                     43,                0.82227,                 1.3826,                0.70821,                 1.0429,                0.80758,                0.75502,                0.79702,                0.58344,                0.73432,                0.61446,                0.61573,                0.20607,                0.96994,                 1.1673,                0.93362,                 1.0551,              0.0011882,              0.0011882,              0.0011882
                     44,                0.82142,                 1.3787,                0.71118,                 1.0412,                0.77104,                0.74699,                0.76966,                0.56012,                  0.677,                0.64815,                0.60746,                0.20842,                 1.0114,                 1.1574,                0.96258,                 1.0684,              0.0011684,              0.0011684,              0.0011684
                     45,                0.83617,                 1.3891,                0.71872,                 1.0416,                0.80553,                0.74861,                0.78264,                 0.5733,                0.67746,                0.65797,                0.63434,                 0.2144,                 1.0237,                 1.1685,                 0.9737,                 1.0831,              0.0011486,              0.0011486,              0.0011486
                     46,                0.81078,                 1.3706,                0.69055,                 1.0375,                0.80245,                0.73494,                0.75618,                0.54577,                0.71223,                0.67589,                0.63156,                0.20378,                 0.9687,                 1.1932,                0.95551,                 1.0438,              0.0011288,              0.0011288,              0.0011288
                     47,                0.83294,                 1.4058,                0.70287,                 1.0434,                0.78381,                0.75904,                 0.7768,                 0.5691,                0.66992,                0.70912,                0.63199,                0.20927,                0.97637,                 1.1659,                0.94776,                 1.0514,               0.001109,               0.001109,               0.001109
                     48,                0.81851,                 1.3721,                0.69396,                 1.0396,                0.80943,                0.72289,                0.76657,                0.57189,                 0.7226,                0.64659,                0.63283,                0.21553,                0.95932,                 1.1947,                0.97012,                 1.0524,              0.0010892,              0.0010892,              0.0010892
                     49,                0.82119,                 1.3966,                0.69934,                 1.0386,                0.81694,                0.71888,                0.77676,                0.57088,                0.74144,                0.64659,                0.63698,                0.20359,                0.97958,                 1.1908,                   0.98,                  1.051,              0.0010694,              0.0010694,              0.0010694
                     50,                0.80887,                 1.3836,                0.67814,                 1.0329,                0.78117,                0.73494,                0.76039,                 0.5763,                0.72779,                0.68273,                0.64924,                 0.2107,                0.99293,                 1.1856,                0.90424,                 1.0681,              0.0010496,              0.0010496,              0.0010496
                     51,                0.80342,                 1.3827,                0.66831,                 1.0267,                0.78864,                0.75904,                0.77345,                0.56059,                 0.7125,                0.68673,                0.62043,                0.20317,                 1.0373,                 1.1961,                 0.9637,                 1.0901,              0.0010298,              0.0010298,              0.0010298
                     52,                0.80672,                 1.3827,                0.67912,                 1.0344,                0.76283,                0.74297,                0.77818,                0.58583,                0.68448,                0.66667,                0.63152,                0.21885,                0.96511,                 1.1847,                0.95053,                 1.0572,                0.00101,                0.00101,                0.00101
                     53,                0.79998,                 1.3787,                0.66236,                 1.0289,                0.81659,                0.76884,                0.80585,                0.59737,                0.69694,                0.65575,                0.61601,                0.21038,                0.94027,                 1.1892,                0.94614,                 1.0225,              0.0009902,              0.0009902,              0.0009902
                     54,                0.79739,                 1.3673,                0.65433,                 1.0317,                 0.8415,                0.70362,                0.77476,                0.57074,                0.77481,                0.64659,                0.65498,                0.20405,                0.99067,                 1.1783,                0.94001,                 1.0721,              0.0009704,              0.0009704,              0.0009704
                     55,                0.79513,                 1.3602,                0.66631,                 1.0297,                0.79626,                0.73771,                0.77747,                0.57058,                0.70987,                0.65863,                0.61355,                0.20487,                0.93171,                 1.1902,                0.93514,                 1.0221,              0.0009506,              0.0009506,              0.0009506
                     56,                0.78792,                 1.3712,                0.64541,                 1.0265,                0.84201,                0.76305,                0.81325,                 0.5927,                0.73518,                0.66265,                0.63834,                0.21028,                 0.9664,                  1.174,                 0.9609,                 1.0394,              0.0009308,              0.0009308,              0.0009308
                     57,                  0.796,                 1.3636,                0.65049,                 1.0316,                0.81705,                0.73536,                0.78383,                0.58144,                0.72821,                0.65863,                0.61809,                 0.2121,                0.91537,                 1.1826,                0.94591,                  1.016,               0.000911,               0.000911,               0.000911
                     58,                0.78886,                 1.3661,                0.66606,                 1.0288,                0.78621,                0.78275,                0.80547,                0.58965,                0.73712,                0.64257,                0.65042,                0.21472,                0.91821,                 1.1553,                0.93544,                 1.0313,              0.0008912,              0.0008912,              0.0008912
                     59,                0.76648,                 1.3328,                0.63054,                 1.0174,                0.78775,                0.71544,                 0.7599,                0.56666,                0.75666,                0.62651,                0.63458,                0.20852,                0.96901,                 1.1682,                0.95821,                 1.0774,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.7822,                 1.3517,                0.62414,                 1.0225,                0.80639,                0.74297,                0.78165,                0.57723,                0.70902,                0.65462,                0.61052,                0.20843,                0.96446,                 1.1876,                0.91307,                 1.0366,              0.0008516,              0.0008516,              0.0008516
                     61,                0.77368,                 1.3497,                0.63057,                 1.0214,                 0.8401,                0.71739,                0.77847,                0.58142,                0.76943,                0.63855,                0.64625,                0.21271,                0.94913,                 1.1775,                0.91913,                 1.0331,              0.0008318,              0.0008318,              0.0008318
                     62,                0.78037,                 1.3486,                0.63645,                 1.0177,                0.78512,                0.77108,                0.76396,                0.55666,                0.70049,                 0.6747,                0.61451,                0.20659,                0.97035,                 1.1726,                0.91531,                 1.0384,               0.000812,               0.000812,               0.000812
                     63,                  0.758,                 1.3271,                0.61584,                 1.0097,                0.79466,                0.72691,                0.77615,                0.57872,                0.73135,                 0.6506,                0.64688,                0.21616,                0.94238,                 1.1532,                0.90984,                 1.0436,              0.0007922,              0.0007922,              0.0007922
                     64,                0.76298,                 1.3434,                0.61451,                 1.0134,                0.84206,                0.71084,                0.77282,                0.58337,                 0.7406,                0.63063,                0.62294,                0.20983,                0.94965,                  1.152,                0.91203,                 1.0542,              0.0007724,              0.0007724,              0.0007724
                     65,                0.76327,                 1.3321,                0.61624,                 1.0137,                0.78013,                0.77108,                0.76879,                 0.5633,                0.72576,                0.66959,                0.62828,                 0.2037,                0.96308,                 1.1904,                0.93419,                 1.0449,              0.0007526,              0.0007526,              0.0007526
                     66,                0.76344,                 1.3286,                0.62684,                  1.014,                0.75986,                0.74976,                0.75057,                0.56493,                0.68929,                0.67068,                0.61956,                0.21035,                0.94535,                 1.1634,                0.90861,                 1.0693,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.7523,                 1.3478,                0.60792,                 1.0078,                 0.8186,                0.74306,                0.75877,                0.58445,                0.73336,                0.67068,                0.61657,                0.20615,                0.90485,                 1.1666,                0.89496,                 1.0094,               0.000713,               0.000713,               0.000713
                     68,                0.75619,                 1.3297,                0.61008,                 1.0094,                 0.7711,                0.75763,                0.76697,                0.58313,                 0.6884,                 0.6747,                0.62422,                0.21271,                 0.9051,                 1.1895,                0.90632,                 1.0141,              0.0006932,              0.0006932,              0.0006932
                     69,                0.75731,                 1.3362,                0.60975,                 1.0066,                0.80065,                0.75811,                0.77349,                0.58421,                0.71004,                 0.6884,                0.64993,                0.21442,                0.92273,                   1.18,                0.87898,                 1.0356,              0.0006734,              0.0006734,              0.0006734
                     70,                0.74183,                 1.3365,                0.58853,                 1.0021,                0.80797,                 0.7604,                0.77747,                0.59135,                0.72319,                0.65462,                0.61844,                0.21938,                0.89893,                 1.1575,                0.90192,                 1.0016,              0.0006536,              0.0006536,              0.0006536
                     71,                0.74625,                 1.3301,                0.58176,                 1.0058,                0.82297,                0.78412,                0.78833,                0.61054,                0.71518,                0.66667,                0.63385,                0.22087,                0.89804,                 1.1718,                0.85799,                  1.003,              0.0006338,              0.0006338,              0.0006338
                     72,                0.73598,                 1.3322,                0.59001,                0.99806,                0.78497,                 0.7751,                0.77621,                0.58752,                0.76034,                0.66254,                0.64762,                0.21774,                0.90743,                  1.168,                0.88442,                 1.0296,               0.000614,               0.000614,               0.000614
                     73,                0.73353,                 1.3203,                0.58614,                 1.0023,                0.79515,                0.74297,                0.76901,                0.59041,                0.72721,                0.62096,                0.61717,                0.21786,                0.89172,                 1.1672,                0.86992,                0.99665,              0.0005942,              0.0005942,              0.0005942
                     74,                0.72311,                 1.3026,                0.57172,                0.99526,                 0.7903,                 0.7719,                0.74954,                0.58321,                0.70803,                0.69146,                0.63213,                0.21318,                0.89972,                  1.178,                0.90603,                  1.019,              0.0005744,              0.0005744,              0.0005744
                     75,                0.73203,                 1.3141,                0.57141,                0.99724,                0.77701,                0.76305,                0.74828,                0.57253,                0.71233,                 0.6988,                0.63305,                 0.2136,                 0.9338,                 1.1691,                0.90953,                 1.0237,              0.0005546,              0.0005546,              0.0005546
                     76,                0.73829,                 1.3236,                0.57084,                 1.0028,                0.77087,                0.77912,                0.76948,                0.59051,                0.69678,                0.69215,                 0.6463,                0.21428,                0.89185,                 1.1791,                0.86525,                 1.0235,              0.0005348,              0.0005348,              0.0005348
                     77,                0.71972,                 1.3096,                0.56083,                0.98814,                0.77536,                0.78715,                0.76407,                0.58616,                0.68166,                0.67938,                0.62344,                0.21547,                0.88336,                 1.1622,                0.88294,                 1.0209,               0.000515,               0.000515,               0.000515
                     78,                0.72329,                 1.3142,                0.55831,                0.99317,                0.79904,                 0.7751,                0.76775,                0.57214,                0.69964,                0.67354,                0.61993,                0.20614,                0.90036,                 1.1792,                0.89081,                 1.0369,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.7266,                 1.3098,                0.56153,                0.99615,                0.83029,                0.75502,                0.77882,                0.59745,                0.73584,                0.65462,                0.61349,                0.20607,                0.88962,                 1.2051,                0.88089,                 1.0212,              0.0004754,              0.0004754,              0.0004754
                     80,                0.71309,                 1.3002,                 0.5374,                0.98785,                0.78716,                0.76305,                 0.7616,                0.58929,                0.74594,                0.67212,                0.62547,                0.21012,                0.87019,                 1.1757,                0.84778,                 1.0073,              0.0004556,              0.0004556,              0.0004556
                     81,                0.71785,                 1.3082,                 0.5625,                0.98562,                0.79822,                0.76707,                0.76359,                0.59111,                0.69374,                0.66667,                0.61298,                0.21123,                0.88748,                 1.1936,                0.87915,                 1.0077,              0.0004358,              0.0004358,              0.0004358
                     82,                0.71091,                 1.2926,                0.54017,                0.99133,                0.83816,                0.76955,                 0.7838,                0.59504,                0.73686,                0.70281,                0.64571,                0.21403,                 0.9154,                 1.1819,                0.85646,                 1.0336,               0.000416,               0.000416,               0.000416
                     83,                0.70864,                 1.2961,                0.53272,                0.98402,                0.80357,                0.77108,                0.76832,                0.59393,                0.73137,                 0.6988,                0.63699,                0.21649,                0.89525,                 1.1758,                0.85234,                0.99507,              0.0003962,              0.0003962,              0.0003962
                     84,                0.70406,                 1.3017,                0.54388,                0.98456,                0.83011,                0.73896,                 0.7623,                0.59262,                0.77443,                0.66667,                 0.6339,                0.21699,                0.88207,                 1.1746,                0.84785,                 1.0154,              0.0003764,              0.0003764,              0.0003764
                     85,                0.70063,                  1.308,                0.53221,                0.97998,                0.76653,                0.79112,                0.76017,                0.58298,                0.74401,                 0.6506,                 0.6105,                0.21516,                0.89725,                 1.1702,                0.84156,                 1.0229,              0.0003566,              0.0003566,              0.0003566
                     86,                0.69477,                 1.2831,                0.53129,                0.98353,                0.78299,                 0.7751,                0.76399,                0.58819,                0.74822,                0.65863,                0.63227,                0.21694,                0.89458,                 1.1778,                0.86605,                 1.0187,              0.0003368,              0.0003368,              0.0003368
                     87,                0.68233,                 1.2734,                0.51809,                 0.9763,                 0.8425,                0.73044,                 0.7692,                0.59165,                0.76465,                0.65242,                0.64765,                0.22057,                0.88079,                 1.1699,                0.86639,                0.99349,               0.000317,               0.000317,               0.000317
                     88,                0.68646,                 1.2895,                0.52643,                0.97748,                0.83017,                0.75502,                0.77072,                0.59406,                 0.7551,                0.68675,                0.64036,                0.21695,                0.88548,                 1.1682,                0.83506,                 1.0182,              0.0002972,              0.0002972,              0.0002972
                     89,                0.67846,                 1.2592,                0.50643,                0.97297,                0.79407,                0.77108,                 0.7534,                0.57941,                0.71011,                 0.6988,                0.62463,                0.21181,                0.89619,                 1.1751,                0.83817,                 1.0273,              0.0002774,              0.0002774,              0.0002774
                     90,                0.67073,                 1.2606,                0.49972,                0.96953,                0.77923,                0.76707,                0.74796,                0.58363,                0.74183,                 0.6747,                0.62851,                0.20994,                0.91874,                 1.1685,                0.85912,                 1.0571,              0.0002576,              0.0002576,              0.0002576
                     91,                0.57489,                0.95325,                0.49316,                0.99713,                0.79198,                0.81124,                0.76903,                0.60005,                0.71518,                0.71084,                0.63594,                0.21553,                0.86285,                 1.1832,                0.81502,                0.99335,              0.0002378,              0.0002378,              0.0002378
                     92,                0.56008,                 0.9426,                 0.4803,                0.98704,                0.79841,                0.73896,                0.72819,                0.56831,                0.74603,                0.67068,                0.60123,                0.20348,                0.90115,                 1.1774,                0.85078,                 1.0438,               0.000218,               0.000218,               0.000218
                     93,                0.55403,                0.93187,                0.47048,                0.98417,                0.81703,                0.73896,                0.73483,                0.57135,                0.76688,                0.66265,                0.62171,                0.20634,                0.88579,                 1.1788,                0.84036,                 1.0349,              0.0001982,              0.0001982,              0.0001982
                     94,                0.54625,                0.93195,                0.45796,                0.97807,                0.79864,                 0.7805,                0.75063,                0.57926,                0.70759,                 0.6988,                0.59553,                0.20492,                0.88984,                 1.1824,                0.82229,                 1.0285,              0.0001784,              0.0001784,              0.0001784
                     95,                0.54385,                0.94005,                0.45015,                0.97943,                0.79177,                0.76352,                0.75461,                0.58595,                0.70025,                 0.6747,                0.62198,                0.20716,                0.87484,                 1.1916,                0.82125,                 1.0184,              0.0001586,              0.0001586,              0.0001586
                     96,                0.53131,                0.92542,                0.44208,                 0.9688,                0.83464,                0.73092,                0.74896,                0.58107,                 0.7522,                0.65831,                0.61237,                0.20656,                0.88278,                 1.1956,                0.83533,                 1.0196,              0.0001388,              0.0001388,              0.0001388
                     97,                0.53231,                0.91362,                0.43459,                0.97129,                0.79048,                0.76707,                0.74899,                0.59501,                0.72023,                0.70281,                0.62882,                0.21314,                0.87681,                  1.202,                0.82403,                 1.0212,               0.000119,               0.000119,               0.000119
                     98,                0.52251,                0.91801,                 0.4322,                0.96709,                0.82655,                0.74699,                0.75279,                0.59735,                0.75333,                0.66232,                0.61587,                0.21729,                0.87319,                 1.1919,                0.79924,                 1.0229,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.52167,                0.92422,                0.42467,                0.96573,                0.83309,                0.74168,                0.75105,                0.59012,                0.75603,                0.67203,                0.62611,                0.21391,                0.87788,                 1.1844,                0.83137,                 1.0311,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.51848,                0.92025,                0.41305,                0.96652,                0.81607,                  0.751,                0.75332,                0.59322,                0.73642,                0.67871,                0.62199,                0.21562,                0.85289,                 1.1809,                 0.8069,                 1.0073,               5.96e-05,               5.96e-05,               5.96e-05
