                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                  0.935,                  1.477,                 0.8785,                 1.1472,                0.79776,                 0.6988,                0.73018,                0.51689,                0.67848,                0.59323,                0.54501,                0.17979,                 1.0645,                  1.195,                 1.0864,                 1.1309,              0.0016634,              0.0016634,              0.0016634
                     20,                0.93456,                 1.4889,                0.85728,                 1.1524,                0.75689,                 0.7627,                0.74406,                0.51702,                0.69067,                0.58233,                0.58741,                0.19311,                 1.0916,                  1.202,                 1.1161,                 1.1468,              0.0016436,              0.0016436,              0.0016436
                     21,                0.93795,                 1.4873,                 0.8448,                 1.1486,                0.79701,                0.66265,                0.74583,                  0.533,                0.71944,                0.54618,                 0.5478,                0.18231,                 1.0589,                 1.2021,                 1.1214,                 1.0812,              0.0016238,              0.0016238,              0.0016238
                     22,                0.93638,                 1.5205,                0.86809,                 1.1468,                0.78794,                0.73896,                0.75637,                0.52214,                0.67642,                0.63454,                0.55714,                0.17854,                 1.0687,                 1.2044,                 1.0063,                 1.1197,               0.001604,               0.001604,               0.001604
                     23,                0.91568,                 1.4877,                0.83789,                 1.1304,                0.77605,                0.68675,                0.72775,                 0.5037,                0.69868,                0.60643,                0.58882,                0.19928,                 1.0895,                 1.1717,                 1.0558,                 1.1196,              0.0015842,              0.0015842,              0.0015842
                     24,                0.91887,                 1.4763,                0.82928,                 1.1417,                0.76775,                0.72691,                0.76201,                0.54123,                0.70319,                0.63855,                0.62038,                0.20048,                 1.0446,                   1.18,                 1.0241,                 1.0851,              0.0015644,              0.0015644,              0.0015644
                     25,                0.90443,                 1.4745,                0.81719,                  1.134,                0.82742,                0.74297,                0.79451,                0.56664,                 0.7264,                0.65041,                0.61772,                0.20145,                 1.0252,                 1.2025,                 1.0301,                 1.0305,              0.0015446,              0.0015446,              0.0015446
                     26,                0.90726,                 1.4843,                0.82782,                  1.134,                0.75713,                0.75502,                0.77799,                0.56685,                0.68795,                0.68675,                0.64496,                0.21588,                0.96144,                 1.1723,                0.97932,                 1.0423,              0.0015248,              0.0015248,              0.0015248
                     27,                0.91865,                 1.4684,                0.82941,                 1.1392,                0.81847,                0.72429,                0.75625,                0.54865,                0.72151,                0.64257,                0.59799,                0.19352,                 1.0134,                 1.1783,                 1.0093,                 1.0704,               0.001505,               0.001505,               0.001505
                     28,                 0.8969,                 1.4785,                0.81303,                  1.125,                0.74414,                0.73896,                0.75772,                0.56378,                0.73124,                0.62284,                0.63099,                0.20681,                 0.9904,                 1.1699,                 1.0056,                 1.0578,              0.0014852,              0.0014852,              0.0014852
                     29,                0.88397,                 1.4529,                0.78692,                 1.1083,                0.77696,                0.75546,                0.76269,                0.54981,                 0.7082,                0.68273,                0.61634,                 0.2011,                 1.0172,                 1.1677,                 1.0176,                 1.0843,              0.0014654,              0.0014654,              0.0014654
                     30,                  0.864,                 1.4519,                 0.7731,                 1.1124,                0.87048,                0.68675,                0.78657,                0.58104,                0.77779,                0.61446,                0.64815,                0.22192,                0.91863,                 1.1752,                 0.9554,                 1.0549,              0.0014456,              0.0014456,              0.0014456
                     31,                0.88152,                 1.4497,                0.79431,                 1.1212,                0.79753,                0.71888,                0.76529,                0.57369,                0.72215,                0.61446,                0.61628,                0.19805,                 0.9418,                  1.197,                0.96593,                 1.0443,              0.0014258,              0.0014258,              0.0014258
                     32,                0.88311,                 1.4583,                0.79227,                 1.1229,                0.82276,                0.70683,                0.76752,                0.55808,                0.70172,                0.62357,                0.60358,                0.19946,                0.97736,                 1.2052,                 1.0019,                 1.0487,               0.001406,               0.001406,               0.001406
                     33,                0.86502,                 1.4428,                0.77092,                 1.1121,                0.80208,                0.71613,                0.77399,                0.57306,                0.72943,                0.62249,                0.60867,                0.19965,                0.98963,                 1.1632,                0.97266,                 1.0718,              0.0013862,              0.0013862,              0.0013862
                     34,                0.87527,                 1.4447,                0.76881,                 1.1132,                0.81413,                0.73896,                0.79025,                0.58959,                0.72929,                0.65998,                 0.6349,                0.21705,                0.95527,                 1.1461,                0.93684,                 1.0543,              0.0013664,              0.0013664,              0.0013664
                     35,                0.85995,                  1.439,                0.75921,                 1.1072,                0.83412,                0.73896,                 0.7857,                0.59272,                0.76901,                0.67068,                0.66286,                0.21729,                0.90906,                 1.1627,                0.97408,                 1.0451,              0.0013466,              0.0013466,              0.0013466
                     36,                0.86395,                 1.4603,                0.78093,                 1.1078,                 0.8639,                0.69076,                0.77701,                0.56883,                0.76241,                0.60643,                0.60301,                0.20796,                0.95683,                 1.1698,                0.96209,                0.99703,              0.0013268,              0.0013268,              0.0013268
                     37,                0.85025,                 1.4099,                0.74146,                 1.1015,                0.81282,                0.71486,                0.78024,                0.58985,                0.77587,                0.61171,                0.64124,                0.20726,                0.92428,                 1.1643,                 0.9994,                 1.0348,               0.001307,               0.001307,               0.001307
                     38,                0.84414,                 1.4095,                0.75746,                 1.1055,                0.78443,                0.75993,                0.77747,                0.58715,                0.71808,                0.67871,                0.63255,                0.20326,                0.92438,                 1.1726,                0.91586,                 1.0518,              0.0012872,              0.0012872,              0.0012872
                     39,                0.84186,                 1.4356,                0.74226,                 1.0883,                0.81466,                0.75904,                0.78959,                0.60651,                0.75178,                 0.6988,                0.66935,                0.22358,                0.88264,                 1.1667,                0.93242,                0.97604,              0.0012674,              0.0012674,              0.0012674
                     40,                0.83775,                  1.425,                0.72767,                 1.0946,                 0.8449,                0.71486,                0.77231,                0.58867,                0.76166,                 0.6417,                0.62226,                0.20191,                0.88716,                 1.1822,                0.97511,                 1.0153,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.8399,                 1.4375,                0.72868,                 1.0874,                0.84261,                0.73104,                0.79837,                0.60388,                0.75614,                0.64257,                0.64615,                0.21735,                0.89147,                 1.1716,                0.91819,                 1.0169,              0.0012278,              0.0012278,              0.0012278
                     42,                0.82047,                 1.4142,                0.71411,                 1.0842,                0.83489,                0.71486,                 0.7967,                0.61413,                0.74518,                0.63855,                0.62968,                0.21184,                0.89095,                 1.1749,                0.90691,                 1.0059,               0.001208,               0.001208,               0.001208
                     43,                0.83347,                 1.4352,                0.71456,                 1.0929,                0.80367,                0.73896,                0.78711,                0.58264,                0.71417,                0.65863,                0.64207,                 0.2167,                0.93187,                 1.1645,                0.95253,                 1.0017,              0.0011882,              0.0011882,              0.0011882
