                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.9063,                 1.4748,                0.81601,                 1.1224,                0.82422,                0.69677,                0.76059,                0.56483,                0.67673,                0.62249,                0.58639,                 0.1897,                  1.034,                 1.2014,                 1.0915,                 1.0852,              0.0015644,              0.0015644,              0.0015644
                     25,                0.90874,                 1.4883,                0.81244,                  1.118,                0.79415,                 0.7282,                0.77291,                0.56774,                 0.7379,                0.61847,                0.62298,                0.19897,                 1.0242,                 1.2117,                 1.0591,                 1.0586,              0.0015446,              0.0015446,              0.0015446
                     26,                0.90087,                 1.4779,                0.81099,                 1.1151,                0.85239,                0.71084,                0.77347,                0.55262,                 0.7236,                0.66265,                0.63485,                0.19243,                 1.0938,                 1.1937,                 1.0372,                 1.1212,              0.0015248,              0.0015248,              0.0015248
                     27,                0.89823,                 1.4925,                0.80513,                 1.1144,                0.74788,                0.71084,                0.72142,                0.52167,                0.68709,                0.64377,                0.59577,                0.18252,                  1.017,                 1.2066,                 1.0543,                 1.0683,               0.001505,               0.001505,               0.001505
                     28,                0.88895,                 1.4608,                0.78199,                 1.1128,                0.80251,                0.71084,                0.76167,                0.56433,                0.71566,                0.65462,                 0.6366,                0.20364,                 1.0354,                 1.2062,                 1.0111,                 1.0883,              0.0014852,              0.0014852,              0.0014852
                     29,                0.89018,                 1.4583,                0.79196,                 1.1128,                0.81028,                0.70683,                0.75043,                0.56295,                0.70304,                0.60852,                0.59221,                0.19539,                0.98721,                 1.1961,                  1.005,                 1.0338,              0.0014654,              0.0014654,              0.0014654
                     30,                0.88394,                 1.4696,                0.77259,                 1.1081,                0.80373,                0.71084,                0.73936,                0.55833,                0.72154,                0.61044,                0.59571,                0.19676,                0.98119,                  1.215,                 1.0002,                   1.07,              0.0014456,              0.0014456,              0.0014456
                     31,                0.86484,                 1.4462,                0.77419,                 1.1036,                0.79838,                0.71562,                0.76154,                0.56498,                0.69908,                0.61577,                0.60479,                0.18653,                0.99984,                 1.1909,                0.98145,                 1.0563,              0.0014258,              0.0014258,              0.0014258
                     32,                0.86853,                 1.4459,                0.77817,                 1.1015,                0.80252,                0.70281,                0.73542,                0.53858,                0.71479,                0.62249,                0.58413,                 0.1943,                0.99667,                 1.1949,                 1.0605,                 1.0365,               0.001406,               0.001406,               0.001406
                     33,                0.86109,                 1.4424,                0.77294,                 1.1024,                0.82332,                0.74297,                 0.7873,                0.58409,                0.71612,                0.66667,                0.63148,                0.20141,                0.98819,                 1.2029,                0.95149,                 1.0827,              0.0013862,              0.0013862,              0.0013862
